substep,sim_time,dt,structural_mass,catalyst_mass,retention,classification,struct_rep,cat_rep
195000,15.234374999987278,0.000078125,1321.3613278876505,583.4123602687315,0.723143374661497,Transient,0.32184519693294217,0.18130735269579618
196000,15.312499999987207,0.000078125,1319.202013904882,582.8715716644066,0.7218540274392892,Transient,0.32323467900149305,0.18256008522167516
197000,15.390624999987136,0.000078125,1317.04746073209,582.328191876452,0.7205648271425407,Transient,0.3246218910851309,0.18381580546726956
198000,15.468749999987065,0.000078125,1314.8976514802878,581.7822285081822,0.7192757971713677,Transient,0.32600683818530535,0.1850744995971341
199000,15.546874999986994,0.000078125,1312.7525693211483,581.233694874527,0.7179869537194745,Transient,0.32738952528572257,0.18633615368595763
200000,15.624999999986922,0.000078125,1310.6121974807422,580.6825956859502,0.7166983233406515,Transient,0.3287699573524088,0.18760075370261173
201000,15.703124999986851,0.000078125,1308.4765192366542,580.1289406862471,0.7154099262283223,Transient,0.33014813933376297,0.1888682855038804
202000,15.78124999998678,0.000078125,1306.3455179263362,579.5727414222606,0.7141217801808661,Transient,0.33152407616061846,0.19013873485889274
203000,15.85937499998671,0.000078125,1304.219176949452,579.014015730413,0.712833895288603,Transient,0.33289777274630306,0.19141208745748683
204000,15.937499999986638,0.000078125,1302.0974797807858,578.4527701745805,0.7115462950437863,Transient,0.3342692339867139,0.19268832894781127
205000,16.015624999986922,0.000078125,1299.9804099282626,577.8890079205058,0.7102590069007553,Transient,0.3356384647603753,0.19396744482058126
206000,16.093749999988628,0.000078125,1297.8679509530082,577.3227380563205,0.708972050949676,Transient,0.33700546992848424,0.19524942046643143
207000,16.171874999990333,0.000078125,1295.7600864688286,576.7539689827723,0.707685447951712,Transient,0.338370254334965,0.19653424117655924
208000,16.24999999999204,0.000078125,1293.656800144816,576.1827106429575,0.706399216603396,Transient,0.33973282280652306,0.19782189215094717
209000,16.328124999993744,0.000078125,1291.558075706406,575.6089728938884,0.7051133755348209,Transient,0.3410931801527085,0.19911235850288533
210000,16.40624999999545,0.000078125,1289.4638969349155,575.03276563989,0.703827943147133,Transient,0.34245133116597243,0.2004056252593779
211000,16.484374999997154,0.000078125,1287.374247667844,574.4540990189435,0.7025429373861922,Transient,0.3438072806217266,0.20170167736316588
212000,16.56249999999886,0.000078125,1285.2891117992099,573.8729831566463,0.7012583760454028,Transient,0.3451610332784043,0.20300049967531392
